"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04"
"The Pinehills","Plymouth","MA","Boston","Plymouth",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574900,636400,615000,6e+05,562000,562000,575000,579000,575000,575000,552450,549900,540768,589000,614450
"North Village","New Smyrna Beach","FL","Daytona Beach","Volusia",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,269000,269000,269500,278250,302250,299907.5,282357.5,309500,292000,299900,312450,345000,310000,313950,305000,331250,325000,325000,345200,325000,340400,334900,329900,333974.5,341249
"Coronado Beach","New Smyrna Beach","FL","Daytona Beach","Volusia",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,305000,315000,315000,302499.5,309900,299825,299500,291950,294250,295000,294999,299000,299900,295249.5,299900,299949.5,299450,299000,299900,299900,298250,315000,325000,327450,348700,344650,339000,344450,339900,342250
"Central Beach","New Smyrna Beach","FL","Daytona Beach","Volusia",1497,287000,275000,269000,265000,262000,250000,251750,250000,250000,251750,249500,245000,241500,229000,244000,239000,239000,241500,239000,235000,234900,220000,229000,239450,239450,244500,245000,237000,232450,235000,235000,230000,232500,235000,240000,249500,250000,250000,269000,277000,319900,298900,299900,298000,319900,312450,312450,293500,290500,295000,295000,299950,332500,340000,319500,329000,339900,345000,342450,331000,329000,324000,309900,304950,348700,343850,348850,349000,349000,349900,366000,369000,367000,365000,365000,369000,384900,390000,394250,383450,388450,399000,383900,371500,396500,379900,387000,379900
"Drew Valley","Brookhaven","GA","Atlanta","Dekalb",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,487500,490000,440000,437000,449500,449000,409450,449000,450000,450000,450000,469000
"Artisan Park","Celebration","FL","Orlando","Osceola",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,379000,382294,399999,424900,424900,499000,559000,544000,496950,452744,485588,479538,465244,410000,410000,379900,394950,379900,409495,354900,354900,358450,399888,416500,424825,459375,412375,4e+05,399500,419444,438888,412500,419000,391950,375000,344000
"South Village","Celebration","FL","Orlando","Osceola",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459000,418500,412777,412777,410777,428950,428950,458990,409777,399999,442500,445750,471995,485000,399900,396588,388888,449900,442450,452400,459450,459450,459450,479450,459888,449450,439000,442500
"North Village","Celebration","FL","Orlando","Osceola",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,459590,454295,399900,433000,433000,431500,433000,435500,449900,449494,425000
"Ashford Park","Brookhaven","GA","Atlanta","Dekalb",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,599898,617450,525000,582500,572450,599000,612000,565000,565000,594950,494500,507000,498000,498000
"Nautica Isles","Greenacres","FL","Miami-Fort Lauderdale","Palm Beach",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265000,274950,275000,274900,269900,274950,280000,287000,286000,276500,275000,274950,299000,299500,299750,305000,294900,294900,299998.5,299999,302500,302500,299450,309900,302500
"Meridian Avenue Corridor","Oklahoma City","OK","Oklahoma City","Oklahoma",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,92000,89900,90750,94900,94000,94900,94900,89500,92500,92250,88700,94950,89400,91250,91900,93900,89950,95000,98900,95000,95000,96250,93400,90000,85000,94900,94700,89000,93200,101250,107000,104900,107975,109900,110000,110000,105975,99900,113250,113385,105000
"Southern Hills","Springfield","MO","Springfield","Greene",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,159900,182400,174900,158000,149900,143400,139900,163000,164900,182400,189900,194900,212450
"Parkcrest","Springfield","MO","Springfield","Greene",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132400,127450,128450,132450,129900,126900,127900,129900,127900,121950,125700,125900,123900,129900,129900,129900,128900,119900,128400,129900,134900,130750,130750,124900,129900,133950
"I-240 Corridor","Oklahoma City","OK","Oklahoma City","Oklahoma",1497,88200,89900,89900,89900,89900,89900,89000,86950,87000,87000,89900,89995,88950,89250,79900,75000,74950,75450,74900,76666,72700,79500,79000,79900,79000,79999.5,84000,82000,85000,85000,83000,79900,74900,75000,87900,88950,89000,88500,85000,86500,85400,87000,87450,87000,89900,87750,89700,89500,89950,92900,89500,90000,89949.5,89900,89950,91000,89000,90950,89995,91750,89900,95000,95000,99700,99900,98000,95000,95000,97000,1e+05,99000,94900,93000,93000,98250,1e+05,101000,104900,1e+05,1e+05,98900,1e+05,108750,99900,99950,99900,95499.5,95687.5
"Meador Park","Springfield","MO","Springfield","Greene",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104950,109000,104900,99900,99900,99900,99950,104900,109900,110000,110223,112450
"Terravista","Round Rock","TX","Austin","Williamson",1497,248200,250002,259900,255900,256690,255880,257485.5,248069.5,251794.5,248445,241900,239000,234995,232964.5,235990,229945,231965,225000,229450,219950,219990,221900,219990,235751,240000,241995,246445,250000,262017.5,275000,265022.5,255505.5,257000.5,259990,282495,272495,291490,294900,267500,275000,277500,284900,286495,275000,293890,296917.5,296935,289035,292017.5,297000,295000,301950,304500,288000,284950,282500,282500,289950,289900,285000,279900,274900,283450,295000,295000,299950,314950,319900,319400,316900,307900,311632,312949.5,329900,328700,329900,319900,317450,315000,318000,316500,312949.5,310999.5,312949.5,3e+05,311499.5,325000,324450
"Paloma Lake","Round Rock","TX","Austin","Williamson",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307500,315000,322400,325000,324950,324950,343693,330990,333990,335000,326990,324723.5,325000
"Mayfield Ranch Enclave","Round Rock","TX","Austin","Williamson",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304945,325000,319500,319000,320053.5,347361,345990,340549.5,344920,327990,327990,335945
"Big Woods-Marmion","Aurora","IL","Chicago","Kane",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277950,259900,266450,262900,269900,265900,269900,284950,235000,229900,244950,257450
"Boulevard District","Aurora","IL","Chicago","Kane",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,169900,169900,169900,169900,164250,173400,162400,168400,164900,169900,174900,178064,184900,189900,189450,189900,198950,189950,184950,175000,174900,174900,174900,175000,189000,189450,184700,175950,175000,174500,176900,173500,174950,176900,179500,177700
"Park Hill","Yonkers","NY","New York","Westchester",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412450,364000,364000,349999,359000,379000,379000,424999,399999.5,352500,375000,365000,355000,375000,375000,369000,369000,399000,439000,457000,469000,434000,435500,432000,415000,399949.5,399000,409950,420000,399000,429500,414500,419000,394000,340000,349000,399000,449500
"Crestwood South","Birmingham","AL","Birmingham","Jefferson",1497,,199900,199900,177400,184900,182400,187200,189700,189900,189000,179900,179900,172200,168750,189000,189250,189700,179000,177450,179900,189900,183700,189800,177000,175000,184500,185500,182200,179900,177250,175000,175000,174950,169900,166700,169900,169900,172400,170000,175000,175000,174900,179000,179900,179900,182400,182400,189900,184900,174000,179900,177450,174900,174900,174900,164900,185000,172900,169000,173000,185000,187250,189700,187700,182500,185000,189900,189900,186400,182900,184950,184950,199900,199900,199900,199900,199900,190000,199900,199900,199999,204950,204950,231950,229000,217450,215000,239900
"Doling Park","Springfield","MO","Springfield","Greene",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74950,74949.5,75000,75000,75000,77700,77500,74900,69450,68193.5,66500,67950,65000,66450,68943.5
"Westside","Springfield","MO","Springfield","Greene",1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59950,60400,64000,64000,64900,67750,68004,69900,73317,69900,69900,69900,69900,68500,63900,59900,68950,64425,66900,61900,62000,64900,64900,60450,59950,63500,65000,61500,71200,75000,84900,87250,83616,71000,69900,69900,65000,65126,65000,68900
